Países,Quantidade (Kg),Valor (US$)
Afeganistão,-,-
África do Sul,103,1.783
"Alemanha, República Democrática",6.666,48.095
Angola,-,-
Anguilla,-,-
Antígua e Barbuda,447,3.329
Antilhas Holandesas,-,-
Arábia Saudita,32,54
Argélia,6,87
Argentina,21.015,167.696
Aruba,-,-
Austrália,2.070,19.152
Áustria,-,-
Bahamas,1.632,7.457
Bangladesh,-,-
Barbados,773,580
Barein,178,1.044
Bélgica,960,8.334
Belice,-,-
Benin,-,-
Bermudas,102,823
Bolívia,20.334,30.293
Bósnia-Herzegovina,-,-
Brasil,96,244
Bulgária,18,184
Cabo Verde,-,-
Camarões,-,-
Canadá,4.320,35.179
Catar,-,-
"Cayman, Ilhas",180,591
Chile,-,-
China,34.231,182.595
Chipre,988,4.308
Cingapura,-,-
"Cocos (Keeling), Ilhas",-,-
Colômbia,-,-
Comores,-,-
Congo,2.340,3.753
"Coreia, Republica Sul",173,1.050
Costa do Marfim,-,-
Costa Rica,-,-
Coveite (Kuweit),16,72
Croácia,23,44
Cuba,-,-
Curaçao,25.146,50.990
Dinamarca,11,185
Dominica,947,4.545
El Salvador,-,-
Emirados Arabes Unidos,1.688,8.253
Equador,-,-
"Eslovaca, Republica",-,-
Espanha,191,2.062
Estados Unidos,310.410,648.724
Estônia,-,-
Filipinas,11.514,27.378
Finlândia,-,-
França,3.729,29.768
Gabão,5,18
Gana,54.828,91.317
Gibraltar,5,13
Granada,-,-
Grécia,617,2.051
Guatemala,7.957,14.268
Guiana,115.884,349.244
Guiana Francesa,-,-
Guine Bissau,-,-
Guine Equatorial,2.250,4.279
Haiti,450.690,713.158
Honduras,-,-
Hong Kong,6.696,30.490
Hungria,14,27
Ilha de Man,124,587
Ilhas Virgens,-,-
Índia,-,-
Indonésia,-,-
Irã,-,-
Iraque,-,-
Irlanda,32,132
Itália,2.431,11.642
Jamaica,-,-
Japão,29.320,66.956
Jordânia,-,-
Letônia,33.273,144.229
Líbano,-,-
Libéria,12.024,38.576
Luxemburgo,72,832
Macau,-,-
Malásia,-,-
Malavi,-,-
Malta,6.302,16.586
"Marshall, Ilhas",5.628,23.195
Martinica,-,-
Mauritânia,-,-
México,2.277,7.938
Moçambique,-,-
Montenegro,-,-
Namíbia,-,-
Nicarágua,-,-
Nigéria,808,2.052
Noruega,309,2.185
Nova Caledônia,-,-
Nova Zelândia,-,-
Omã,-,-
Países Baixos,3.074,22.785
Palau,30,320
Panamá,121.432,97.549
Paraguai,3.705.268,5.121.857
Peru,-,-
Pitcairn,-,-
Polônia,-,-
Porto Rico,-,-
Portugal,26.340,50.923
Quênia,-,-
Reino Unido,14.780,106.713
República Dominicana,-,-
Rússia,56,338
São Cristóvão e Névis,-,-
São Tomé e Príncipe,-,-
São Vicente e Granadinas,-,-
Senegal,-,-
Serra Leoa,36.608,68.151
Sérvia,10.482,25.379
Singapura,4.141,20.048
Suazilândia,-,-
Suécia,-,-
Suíça,2.350,23.791
Suriname,27.900,71.483
Tailândia,266,1.910
Taiwan (Formosa),-,-
Tanzânia,3,35
"Tcheca, República",2.273,20.973
Togo,27.630,48.070
Toquelau,-,-
Trinidade Tobago,64,199
Tunísia,-,-
Turquia,216,540
Tuvalu,-,-
Uruguai,36.729,62.325
Vanuatu,-,-
Venezuela,122.922,199.418
Vietnã,16,41
Total,5.324.465,8.751.275
